subj,CC,II,CI,IC,gaze-200-match,gaze-200-mismatch,Gaze-SOA-600,CC,II,CI,IC,gaze-600-match,gaze-600-mismatch,Gaze-SOA-1000,CC,II,CI,IC,gaze-1000-match,gaze-1000-mismatch,Arrow-SOA-200,CC,II,CI,IC,arrow-200-match,arrow-200-mismatch,Arrow-SOA-600,CC,II,CI,IC,arrow-600-match,arrow-600-mismatch,Arrow-SOA-1000,CC,II,CI,IC,arrow-1000-match,arrow-1000-mismatch,subjAge,subjHandedness,subjSex
10,0.376079,0.393298,0.379892,0.38309,0.017219,0.003198,,0.342967,0.35303,0.374878,0.37824,0.010063,0.003362,,0.366539,0.369816,0.373176,0.358382,0.003277,-0.014794,,0.410881,0.415092,0.393312,0.424288,0.004211,0.030976,,0.343863,0.395801,0.385782,0.378209,0.051938,-0.007573,,0.380742,0.382237,0.381574,0.36316,0.001495,-0.018414,18.846575,right,female
11,0.399114,0.393702,0.402461,0.417593,-0.005412,0.015132,,0.389267,0.369877,0.387426,0.375697,-0.01939,-0.011729,,0.364588,0.3874,0.36311,0.376502,0.022812,0.013392,,0.384931,0.400855,0.382388,0.37426,0.015924,-0.008128,,0.3539,0.377395,0.374825,0.356602,0.023495,-0.018223,,0.3646,0.352231,0.374002,0.365601,-0.012369,-0.008401,18.150685,right,female
12,0.391589,0.403364,0.420111,0.418405,0.011775,-0.001706,,0.403384,0.416643,0.413394,0.384049,0.013259,-0.029345,,0.357531,0.378239,0.408097,0.393256,0.020708,-0.014841,,0.451119,0.421779,0.425988,0.409227,-0.02934,-0.016761,,0.418383,0.415115,0.428136,0.406881,-0.003268,-0.021255,,0.433492,0.421801,0.368069,0.427617,-0.011691,0.059548,0,right,female
13,0.43854,0.434328,0.448597,0.427685,-0.004212,-0.020912,,0.400003,0.411781,0.413362,0.399976,0.011778,-0.013386,,0.411336,0.436919,0.420956,0.411758,0.025583,-0.009198,,0.427657,0.417517,0.414251,0.426334,-0.01014,0.012083,,0.41648,0.412546,0.421764,0.411724,-0.003934,-0.01004,,0.43353,0.434292,0.410455,0.426357,0.000762,0.015902,18.542466,right,female
14,0.49216,0.524037,0.467903,0.480455,0.031877,0.012552,,0.42686,0.436023,0.415968,0.420988,0.009163,0.00502,,0.425471,0.429856,0.467873,0.449444,0.004385,-0.018429,,0.545843,0.493381,0.505636,0.502243,-0.052462,-0.003393,,0.435208,0.456302,0.442211,0.468677,0.021094,0.026466,,0.464292,0.449433,0.447508,0.478386,-0.014859,0.030878,19.758904,right,female
15,0.378213,0.370778,0.354704,0.36014,-0.007435,0.005436,,0.405014,0.438523,0.371528,0.361437,0.033509,-0.010091,,0.367213,0.405864,0.396642,0.377382,0.038651,-0.01926,,0.35223,0.413411,0.360598,0.368934,0.061181,0.008336,,0.341352,0.390169,0.352199,0.419273,0.048817,0.067074,,0.383924,0.368078,0.369873,0.368143,-0.015846,-0.00173,17.920548,right,female
16,0.55524,0.586902,0.623758,0.666521,0.031662,0.042763,,0.549219,0.536588,0.519022,0.614494,-0.012631,0.095472,,0.558432,0.514561,0.595257,0.542537,-0.043871,-0.05272,,0.795512,0.657255,0.700894,0.613673,-0.138257,-0.087221,,0.713484,0.694185,0.674237,0.652258,-0.019299,-0.021979,,0.582718,0.637206,0.678206,0.733307,0.054488,0.055101,19.427397,right,female
17,0.411385,0.404249,0.421004,0.420993,-0.007136,-1.1E-05,,0.382354,0.363156,0.386588,0.41931,-0.019198,0.032722,,0.364816,0.379067,0.379053,0.376439,0.014251,-0.002614,,0.374038,0.393311,0.384043,0.390781,0.019273,0.006738,,0.38243,0.357538,0.351396,0.348932,-0.024892,-0.002464,,0.401617,0.344704,0.364804,0.367317,-0.056913,0.002513,18.884932,right,female
18,0.346347,0.336337,0.34218,0.367332,-0.01001,0.025152,,0.313394,0.346908,0.337237,0.339822,0.033514,0.002585,,0.356632,0.353076,0.346348,0.368956,-0.003556,0.022608,,0.384042,0.379645,0.394155,0.380736,-0.004397,-0.013419,,0.356599,0.360156,0.339664,0.355796,0.003557,0.016132,,0.374843,0.369865,0.399002,0.384888,-0.004978,-0.014114,18.778082,right,male
19,0.420133,0.444439,0.423438,0.485492,0.024306,0.062054,,0.397495,0.373643,0.450305,0.404284,-0.023852,-0.046021,,0.387451,0.426825,0.456149,0.391058,0.039374,-0.065091,,0.451953,0.467044,0.43098,0.518993,0.015091,0.088013,,0.420125,0.387525,0.466218,0.434392,-0.0326,-0.031826,,0.440472,0.429294,0.436054,0.407539,-0.011178,-0.028515,20.252055,right,female
1,0.455466,0.542485,0.477092,0.512304,0.087019,0.035212,,0.4679,0.520675,0.441341,0.433372,0.052775,-0.007969,,0.497192,0.463353,0.534929,0.517339,-0.033839,-0.01759,,0.480212,0.523385,0.52991,0.49052,0.043173,-0.03939,,0.530762,0.494706,0.459525,0.481858,-0.036056,0.022333,,0.465359,0.506441,0.461639,0.540762,0.041082,0.079123,18.824658,left,female
21,0.458091,0.506583,0.434302,0.522415,0.048492,0.088113,,0.479247,0.483832,0.513128,0.517204,0.004585,0.004076,,0.477952,0.48218,0.462884,0.528701,0.004228,0.065817,,0.510148,0.519823,0.462866,0.514816,0.009675,0.05195,,0.459516,0.454533,0.445255,0.488103,-0.004983,0.042848,,0.410897,0.508941,0.498889,0.462013,0.098044,-0.036876,18.430137,left,female
22,0.444821,0.428496,0.448608,0.429849,-0.016325,-0.018759,,0.379049,0.372317,0.368942,0.356626,-0.006732,-0.012316,,0.396636,0.390766,0.36724,0.436056,-0.00587,0.068816,,0.450285,0.426279,0.444795,0.410841,-0.024006,-0.033954,,0.377349,0.388379,0.379905,0.400843,0.01103,0.020938,,0.422798,0.396322,0.401685,0.405141,-0.026476,0.003456,18.772603,right,female
23,0.420156,0.439357,0.409226,0.405062,0.019201,-0.004164,,0.390199,0.410043,0.39281,0.399855,0.019844,0.007045,,0.402507,0.384865,0.411313,0.439428,-0.017642,0.028115,,0.4017,0.399909,0.403425,0.384889,-0.001791,-0.018536,,0.393292,0.394138,0.398112,0.415777,0.000846,0.017665,,0.415067,0.391938,0.460328,0.406674,-0.023129,-0.053654,17.947945,right,female
24,0.42516,0.425218,0.414243,0.412563,5.8E-05,-0.00168,,0.361473,0.356581,0.389923,0.403372,-0.004892,0.013449,,0.390148,0.405004,0.388249,0.418439,0.014856,0.03019,,0.467867,0.441324,0.382215,0.425965,-0.026543,0.04375,,0.411742,0.389995,0.407514,0.411723,-0.021747,0.004209,,0.399143,0.426342,0.386624,0.406713,0.027199,0.020089,18.076712,right,male
25,0.370756,0.367247,0.378193,0.376554,-0.003509,-0.001639,,0.348869,0.366369,0.375138,0.33965,0.0175,-0.035488,,0.353945,0.400743,0.383119,0.377794,0.046798,-0.005325,,0.370688,0.365683,0.354715,0.384948,-0.005005,0.030233,,0.370661,0.395007,0.35306,0.361066,0.024346,0.008006,,0.394577,0.399158,0.359777,0.36904,0.004581,0.009263,18.558904,right,female
26,0.299433,0.320534,0.311164,0.312841,0.021101,0.001677,,0.297781,0.322009,0.302848,0.301943,0.024228,-0.000905,,0.29133,0.312793,0.3116,0.306168,0.021463,-0.005432,,0.33283,0.33547,0.333786,0.339904,0.00264,0.006118,,0.348033,0.335493,0.323131,0.33545,-0.01254,0.012319,,0.336351,0.338133,0.333794,0.358131,0.001782,0.024337,18.282192,right,female
27,0.684966,0.663995,0.617931,0.699982,-0.020971,0.082051,,0.661927,0.618685,0.643892,0.671561,-0.043242,0.027669,,0.547447,0.623743,0.573502,0.609227,0.076296,0.035725,,0.612504,0.61036,0.678632,0.630459,-0.002144,-0.048173,,0.503112,0.526872,0.570094,0.530401,0.02376,-0.039693,,0.529121,0.557772,0.544151,0.530734,0.028651,-0.013417,18.161644,right,female
28,0.378714,0.401662,0.363112,0.389234,0.022948,0.026122,,0.358954,0.415095,0.458958,0.401663,0.056141,-0.057295,,0.417625,0.401666,0.408381,0.404191,-0.015959,-0.00419,,0.388401,0.419301,0.384897,0.412598,0.0309,0.027701,,0.404272,0.399181,0.426334,0.405854,-0.005091,-0.02048,,0.411374,0.373386,0.440663,0.431592,-0.037988,-0.009071,18.517808,right,female
29,0.353108,0.362265,0.359794,0.365638,0.009157,0.005844,,0.318671,0.338825,0.330441,0.337151,0.020154,0.00671,,0.338848,0.335489,0.331933,0.338998,-0.003359,0.007065,,0.380438,0.389095,0.361958,0.385738,0.008657,0.02378,,0.338797,0.322454,0.339661,0.336382,-0.016343,-0.003279,,0.329594,0.356667,0.340506,0.331239,0.027073,-0.009267,19.254795,right,male
2,0.285177,0.296091,0.28517,0.278166,0.010914,-0.007004,,0.268434,0.284324,0.273762,0.278667,0.01589,0.004905,,0.291056,0.293144,0.27774,0.294026,0.002088,0.016286,,0.272814,0.296037,0.280969,0.310302,0.023223,0.029333,,0.304615,0.278671,0.287074,0.30028,-0.025944,0.013206,,0.289573,0.307241,0.279888,0.27577,0.017668,-0.004118,20.035616,right,female
30,0.343029,0.34253,0.327879,0.34218,-0.000499,0.014301,,0.31285,0.313683,0.330408,0.316197,0.000833,-0.014211,,0.317019,0.324577,0.322075,0.328743,0.007558,0.006668,,0.309553,0.317059,0.32371,0.334664,0.007506,0.010954,,0.308634,0.309002,0.304449,0.302771,0.000368,-0.001678,,0.317822,0.327088,0.322256,0.329297,0.009266,0.007041,20.882192,right,male
31,0.376931,0.397514,0.402526,0.392478,0.020583,-0.010048,,0.359327,0.38746,0.384044,0.381523,0.028133,-0.002521,,0.346955,0.370658,0.383227,0.400841,0.023703,0.017614,,0.411736,0.437828,0.41344,0.400875,0.026092,-0.012565,,0.364613,0.384959,0.384085,0.376541,0.020346,-0.007544,,0.38823,0.391922,0.399994,0.401708,0.003692,0.001714,18.805479,right,female
32,0.351337,0.362777,0.36986,0.396613,0.01144,0.026753,,0.350546,0.338109,0.35054,0.354867,-0.012437,0.004327,,0.410905,0.35559,0.39991,0.355757,-0.055315,-0.044153,,0.374866,0.404371,0.355729,0.377782,0.029505,0.022053,,0.368095,0.39411,0.353876,0.363939,0.026015,0.010063,,0.35396,0.370763,0.412225,0.396335,0.016803,-0.01589,18.29589,right,male
